Date,Open,High,Low,Close,Change %,Avg. Volume
"Apr. 11, 2022","3,124.45","3,216.85","3,066.59","3,174.31",1.48%,"14,578,254"
"Apr. 04, 2022","2,941.75","3,148.21","2,917.94","3,128.12",6.36%,"16,599,818"
"Mar. 28, 2022","3,045.96","3,053.35","2,782.83","2,941.09",-5.32%,"18,486,802"
"Mar. 21, 2022","2,845.28","3,106.29","2,845.28","3,106.29",10.21%,"20,584,764"
"Mar. 14, 2022","2,733.77","2,822.79","2,642.52","2,818.47",2.31%,"26,701,994"
"Mar. 07, 2022","2,657.49","2,800.74","2,519.64","2,754.74",3.84%,"31,846,226"
"Feb. 28, 2022","2,445.03","2,654.59","2,438.08","2,652.77",7.37%,"25,076,005"
"Feb. 22, 2022","2,357.40","2,471.33","2,321.43","2,470.77",4.73%,"18,584,374"
"Feb. 14, 2022","2,397.37","2,428.91","2,288.75","2,359.14",-2.11%,"14,643,811"
"Feb. 07, 2022","2,326.56","2,447.52","2,284.28","2,410.05",3.66%,"15,939,651"
"Jan. 31, 2022","2,188.84","2,347.77","2,164.44","2,324.89",5.88%,"15,355,260"
"Jan. 24, 2022","2,082.85","2,213.27","2,056.73","2,195.77",3.56%,"14,044,769"
"Jan. 18, 2022","2,241.93","2,255.75","2,111.87","2,120.29",-5.63%,"11,925,558"
"Jan. 10, 2022","2,199.27","2,267.83","2,141.05","2,246.87",1.81%,"11,124,592"
"Jan. 03, 2022","2,200.32","2,245.32","2,145.40","2,206.82",0.76%,"9,952,587"
"Dec. 27, 2021","2,179.25","2,228.79","2,162.59","2,190.12",0.55%,"6,165,516"
"Dec. 20, 2021","2,055.89","2,186.92","1,987.83","2,178.21",4.76%,"10,952,474"
"Dec. 13, 2021","2,111.78","2,135.31","2,028.22","2,079.32",-1.63%,"12,746,288"
"Dec. 06, 2021","2,037.43","2,144.67","2,025.43","2,113.86",4.50%,"9,432,496"
"Nov. 29, 2021","2,090.17","2,103.87","1,962.07","2,022.76",-2.10%,"12,800,394"
"Nov. 22, 2021","2,123.63","2,149.60","2,039.75","2,066.05",-2.32%,"7,478,521"
"Nov. 15, 2021","2,156.92","2,167.73","2,114.26","2,115.05",-1.56%,"11,633,244"
"Nov. 08, 2021","2,113.06","2,149.39","2,086.36","2,148.61",2.52%,"14,254,650"
"Nov. 01, 2021","1,971.62","2,111.33","1,909.95","2,095.77",6.19%,"18,752,072"
"Oct. 25, 2021","2,005.69","2,019.85","1,945.91","1,973.53",-1.03%,"9,476,048"
"Oct. 18, 2021","1,992.14","2,053.22","1,960.46","1,994.06",-0.23%,"8,936,583"
"Oct. 11, 2021","1,984.34","2,018.20","1,935.13","1,998.58",1.28%,"10,323,822"
"Oct. 04, 2021","1,984.14","1,999.12","1,896.82","1,973.26",-0.08%,"12,234,116"
"Sep. 27, 2021","1,913.72","1,982.82","1,890.14","1,974.85",3.94%,"12,631,790"
"Sep. 20, 2021","1,784.60","1,911.06","1,776.44","1,899.94",3.38%,"11,083,663"
"Sep. 13, 2021","1,845.41","1,874.61","1,810.64","1,837.89",-0.22%,"11,406,296"
"Sep. 07, 2021","1,860.52","1,866.94","1,820.61","1,841.98",-1.24%,"7,980,274"
"Aug. 30, 2021","1,850.16","1,891.36","1,816.56","1,865.14",1.07%,"8,871,634"
"Aug. 23, 2021","1,765.82","1,863.61","1,761.80","1,845.42",5.07%,"8,563,847"
"Aug. 16, 2021","1,893.85","1,897.15","1,746.77","1,756.33",-8.30%,"11,307,770"
"Aug. 09, 2021","1,861.87","1,934.14","1,851.36","1,915.39",2.97%,"11,270,011"
"Aug. 02, 2021","1,872.99","1,889.68","1,767.96","1,860.09",-0.27%,"12,185,038"
"Jul. 26, 2021","1,840.41","1,901.28","1,806.98","1,865.11",1.56%,"8,889,760"
"Jul. 19, 2021","1,791.42","1,852.95","1,765.24","1,836.38",0.79%,"8,452,446"
"Jul. 12, 2021","1,897.29","1,927.31","1,812.40","1,821.91",-4.49%,"8,137,004"
"Jul. 06, 2021","1,928.55","1,931.17","1,842.86","1,907.63",-1.40%,"9,947,191"
"Jun. 28, 2021","1,935.50","1,964.93","1,896.05","1,934.79",-0.09%,"10,680,242"
"Jun. 21, 2021","1,903.72","1,960.98","1,903.72","1,936.46",3.07%,"12,199,815"
"Jun. 14, 2021","2,015.99","2,021.35","1,877.93","1,878.74",-6.94%,"15,833,185"
"Jun. 07, 2021","2,076.65","2,087.60","2,007.34","2,018.79",-2.37%,"8,762,451"
"Jun. 01, 2021","2,065.20","2,094.01","2,041.31","2,067.90",1.36%,"9,684,932"
24-May-21,"2,027.63","2,058.62","1,981.48","2,040.12",1.37%,"10,875,721"
17-May-21,"2,073.26","2,103.33","1,981.77","2,012.52",-2.92%,"11,898,818"
10-May-21,"2,169.21","2,174.49","2,012.70","2,073.06",-3.29%,"13,502,954"
03-May-21,"2,095.96","2,148.33","1,999.46","2,143.56",3.19%,"14,153,892"
"Apr. 26, 2021","2,052.87","2,129.07","2,052.11","2,077.21",1.51%,"10,532,360"
"Apr. 19, 2021","2,010.85","2,054.75","1,956.67","2,046.27",1.82%,"8,919,645"
"Apr. 12, 2021","1,970.83","2,037.79","1,946.75","2,009.71",2.09%,"9,244,901"
